notes,Counter,photo name,date,date counted,height (level),treatment,replicate,# of boxes counted,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7,Type 8,total,percent alive
new method,joey,t1.high.c5v,t1,2008-12-10,high,c,5,1cm2 grid,30,24,39,0,0,0,0,0,93,0.322580645
new method,joey,t1.high.c6v,t1,2008-12-10,high,c,6,1cm2 grid,42,11,41,0,0,0,0,0,94,0.446808511
new method,joey,t1.high.c7v,t1,2008-12-10,high,c,7,1cm2 grid,27,1,54,0,0,0,0,0,82,0.329268293
new method,joey,t1.high.c8v,t1,2008-12-10,high,c,8,1cm2 grid,34,0,34,0,0,0,0,0,68,0.5
new method,joey,t1.high.v1v,t1,2008-12-11,high,v,1,1cm2 grid,36,11,34,0,0,0,0,0,81,0.444444444
new method,joey,t1.high.v2v,t1,2008-12-11,high,v,2,1cm2 grid,26,15,62,0,0,0,0,0,103,0.252427184
new method,joey,t1.high.v3v,t1,2008-12-11,high,v,3,1cm2 grid,31,10,79,0,0,0,0,0,120,0.258333333
new method,joey,t1.high.v4v,t1,2008-12-11,high,v,4,1cm2 grid,8,53,37,0,0,0,0,0,98,0.081632653
new method,joey,t1.low.c3v,t1,2008-12-11,low,c,3,1cm2 grid,27,3,129,0,0,0,0,0,159,0.169811321
new method,joey,t1.high.v5v,t1,2008-12-11,high,v,5,1cm2 grid,6,46,58,0,0,0,0,0,110,0.054545455
new method,joey,t1.high.v6v,t1,2008-12-11,high,v,6,1cm2 grid,30,17,36,0,0,0,0,0,83,0.361445783
new method,joey,t1.high.v7v,t1,2008-12-11,high,v,7,1cm2 grid,25,3,60,0,0,0,0,0,88,0.284090909
new method,joey,t1.high.v8v,t1,2008-12-11,high,v,8,1cm2 grid,34,2,76,0,0,0,0,0,112,0.303571429
new method,joey,t0.low.c1v,t0,2008-12-12,low,c,1,1cm2 grid,81,2,24,0,0,0,0,0,107,0.757009346
new method,joey,t0.low.c2v,t0,2008-12-12,low,c,2,1cm2 grid,171,2,63,0,0,0,0,0,236,0.724576271
new method,joey,t0.low.c3v,t0,2008-12-12,low,c,3,1cm2 grid,59,0,123,0,0,0,0,0,182,0.324175824
new method,joey,t0.low.c4v,t0,2008-12-12,low,c,4,1cm2 grid,113,2,36,0,0,0,0,0,151,0.748344371
new method,joey,t0.low.c5v,t0,2008-12-12,low,c,5,1cm2 grid,52,0,132,0,0,0,0,0,184,0.282608696
new method,joey,t0.low.c6v,t0,2008-12-12,low,c,6,1cm2 grid,65,0,69,0,0,0,0,0,134,0.485074627
new method,joey,t0.low.c7v,t0,2008-12-12,low,c,7,1cm2 grid,49,0,73,0,0,0,0,0,122,0.401639344
new method,joey,t0.low.c8v,t0,2008-12-12,low,c,8,1cm2 grid,152,2,28,0,0,0,0,0,182,0.835164835
new method,joey,t1.low.c1v,t1,2008-12-13,low,c,1,1cm2 grid,77,6,34,0,0,0,0,0,117,0.658119658
see googledocs note about cth in this photo about some of them being coded as 4,joey,t1.low.c2v,t1,2008-12-13,low,c,2,1cm2 grid,168,3,122,4,0,0,0,0,297,0.565656566
black magnet bar as scale,joey,t1.low.c3v,t1,2008-12-13,low,c,3,1cm2 grid,53,5,146,1,0,0,0,0,205,0.258536585
bolt head 1.3,joey,t1.low.c4v,t1,2008-12-14,low,c,4,1cm2 grid,113,20,46,0,0,0,0,0,179,0.631284916
bolt head 1.3,joey,t1.low.c5v,t1,2008-12-14,low,c,5,1cm2 grid,23,0,178,1,0,0,0,0,202,0.113861386
bolt head 1.3,joey,t1.low.c6v,t1,2008-12-14,low,c,6,1cm2 grid,110,2,63,0,0,0,0,0,175,0.628571429
bolt head 1.3,joey,t1.low.c7v,t1,2008-12-14,low,c,7,1cm2 grid,70,1,61,2,0,0,0,0,134,0.52238806
bolt head 1.3,joey,t1.low.c8v,t1,2008-12-14,low,c,8,1cm2 grid,179,0,20,0,0,0,0,0,199,0.899497487
meter stick,joey,t0.low.v1v,t0,2008-12-14,low,v,1,1cm2 grid,44,1,56,0,0,0,0,0,101,0.435643564
bolt head 1.3,joey,t0.low.v2v,t0,2008-12-14,low,v,2,1cm2 grid,253,5,64,0,0,0,0,0,322,0.785714286
bolt head 1.3,joey,t0.low.v3v,t0,2008-12-14,low,v,3,1cm2 grid,71,0,115,0,0,0,0,0,186,0.38172043
bolt head 1.3,joey,t0.low.v4v,t0,2008-12-14,low,v,4,1cm2 grid,170,0,34,0,0,0,0,0,204,0.833333333
bolt head 1.3,joey,t0.low.v5v,t0,2008-12-16,low,v,5,1cm2 grid,278,0,89,0,0,0,0,0,367,0.757493188
bolt head 1.3,joey,t0.low.v6v,t0,2008-12-16,low,v,6,1cm2 grid,110,5,40,5,0,0,0,0,160,0.6875
bolt head 1.3,joey,t0.low.v7v,t0,2008-12-16,low,v,7,1cm2 grid,159,7,63,10,0,0,0,0,239,0.665271967
using meter stick,joey,t0.low.v8v,t0,2008-12-16,low,v,8,1cm2 grid,102,0,226,0,0,0,0,0,328,0.31097561
inclinometer,joey,t1.low.v1v,t1,2009-01-10,low,v,1,1cm2 grid,37,0,64,1,0,0,0,0,102,0.362745098
bolt head 1.1,joey,t1.low.v2v,t1,2009-01-10,low,v,2,1cm2 grid,76,33,66,0,0,0,0,0,175,0.434285714
bolt head 1.1,joey,t1.low.v3v,t1,2009-01-10,low,v,3,1cm2 grid,5,22,96,1,0,0,0,0,124,0.040322581
inclinometer,joey,t1.low.v4v,t1,2009-01-10,low,v,4,1cm2 grid,79,26,23,1,0,0,0,0,129,0.612403101
inclinometer,joey,t1.low.v5v,t1,2009-01-10,low,v,5,1cm2 grid,135,29,77,0,0,0,0,0,241,0.560165975
inclinometer,joey,t1.low.v6v,t1,2009-01-10,low,v,6,1cm2 grid,63,10,35,3,0,0,0,0,111,0.567567568
inclinometer,joey,t1.low.v7v,t1,2009-01-11,low,v,7,1cm2 grid,120,2,28,8,0,0,0,0,158,0.759493671
inclinometer,joey,t1.low.v8v,t1,2009-01-11,low,v,8,1cm2 grid,55,29,176,3,0,0,0,0,263,0.209125475
meter stick,joey,t2.high.v2w,t2,2009-01-12,high,v,7,1cm2 grid,8,4,116,1,0,0,0,0,129,0.062015504
meter stick,joey,t3.high.v3w,t2,2009-01-12,high,v,6,1cm2 grid,45,16,75,0,0,0,0,0,136,0.330882353
meter stick,joey,t4.high.v4w,t2,2009-01-12,high,v,5,1cm2 grid,0,0,160,0,0,0,0,0,160,0
meter stick,joey,t1.high.v1w,t2,2009-01-12,high,c,8,1cm2 grid,52,0,39,1,0,0,0,0,92,0.565217391
meter stick,joey,t2.high.c2w,t2,2009-01-12,high,c,7,1cm2 grid,25,15,85,0,0,0,0,0,125,0.2
meter stick,joey,t2.high.c3w,t2,2009-01-12,high,c,6,1cm2 grid,28,12,86,0,0,0,0,0,126,0.222222222
meter stick,joey,t2.high.c4w,t2,2009-01-12,high,c,5,1cm2 grid,35,2,90,0,0,0,0,0,127,0.275590551
meter stick,joey,t2.high.c5w,t2,2009-01-12,high,c,4,1cm2 grid,39,2,63,0,0,0,0,0,104,0.375
meter stick,joey,t2.high.c6w,t2,2009-01-12,high,c,3,1cm2 grid,94,3,112,0,0,0,0,0,209,0.449760766
meter stick,joey,t2.high.c7w,t2,2009-01-12,high,c,2,1cm2 grid,34,1,102,0,0,0,0,0,137,0.248175182
meter stick,joey,t2.high.c8w,t2,2009-01-12,high,c,1,1cm2 grid,60,5,52,3,0,0,0,0,120,0.5
meter stick,joey,t2.low.c1w,t2,2009-01-12,low,c,8,1cm2 grid,112,1,96,0,0,0,0,0,209,0.535885167
meter stick,joey,t2.low.c2w,t2,2009-01-12,low,c,7,1cm2 grid,51,1,83,0,0,0,0,0,135,0.377777778
meter stick,joey,t2.low.c3w,t2,2009-01-12,low,c,6,1cm2 grid,24,0,114,0,0,0,0,0,138,0.173913043
meter stick,joey,t2.low.c4w,t2,2009-01-12,low,c,5,1cm2 grid,36,1,165,0,0,0,0,0,202,0.178217822
meter stick,joey,t2.low.c5w,t2,2009-01-12,low,c,4,1cm2 grid,92,12,66,1,0,0,0,0,171,0.538011696
meter stick,joey,t2.low.c6w,t2,2009-01-12,low,c,3,1cm2 grid,34,5,149,0,0,0,0,0,188,0.180851064
meter stick,joey,t2.low.c7w,t2,2009-01-12,low,c,2,1cm2 grid,45,0,178,2,0,0,0,0,225,0.2
meter stick,joey,t2.low.c8w,t2,1900-01-12,low,c,1,1cm2 grid,43,1,58,0,0,0,0,0,102,0.421568627
meter stick,joey,t2.low.v5w,t2,1900-01-12,low,v,4,1cm2 grid,51,58,58,2,0,0,0,0,169,0.301775148
meter stick,joey,t2.low.v1w,t2,1900-01-12,low,v,1,1cm2 grid,42,0,69,0,0,0,0,0,111,0.378378378
meter stick,joey,,t0,2009-01-13,high,ct,1,6cm2 grid,56,2,9,13,0,0,0,0,,
meter stick,joey,,t0,2009-01-13,high,ct,2,6cm2 grid,58,1,1,0,0,0,0,0,,
meter stick,joey,,t0,2009-01-13,high,ct,3,6cm2 grid,47,8,12,4,0,0,0,0,,
meter stick,joey,,t0,2009-01-13,high,ct,4,6cm2 grid,26,5,24,5,0,0,0,0,,
"bolt head, 1.1",joey,,t1,2009-01-13,high,ct,1,6cm2 grid,26,17,5,8,0,0,0,0,,
"bolt head, 1.1",joey,,t1,2009-01-13,high,ct,2,6cm2 grid,34,2,2,4,0,0,0,0,,
"bolt head, 1.1",joey,,t1,2009-01-13,high,ct,3,6cm2 grid,46,17,8,15,0,0,0,0,,
,,,t1,2009-01-13,high,ct,4,6cm2 grid,15,9,26,17,0,0,0,0,,
meter stick,joey,t2.high.ct6w,t2,,high,ct,1,Total,54,11,40,38,0,0,0,0,,
,,t2.high.ct5w,t2,,high,ct,2,Total,39,3,4,3,0,0,0,0,,
